All,Visi
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nav ieteicams lietot darbojošā veikalā lai deklarētu Base Unsecure URL / Base Secure URL. Iesakām to mainīt Magento <a href=""%1"">konfigurācijā</a>."
"One or more of the Cache Types are invalidated: %1. ","Vains vai vairāki keša veidi nav validēti: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ejiet uz <a href=""%1"">Keša pārvaldība</a> un atjaunojiet keša veidus."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nav iespējams sinhronizēt vienu vai vairākus mēdiju failus. Varāk informācijas log failā."
"Synchronization of media storages has been completed.","Mēdiju failu sinhronizācija ir pabeigta."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Nav pareizi nokonfigurēts web serveris, tas ļauj piekļūt sensitīviem failiem. Sazinieties ar savu hostinga kompāniju."
"System Messages:","Sistēmas paziņojumi:"
"Critical System Messages","Kristiski sistēmas paziņojumi"
"Major System Messages","Svarīgi sistēmas paziņojumi"
"System messages","Sistēmas paziņojumi"
Close,Aizvērt
"See All (","Skatīt visas ("
" unread)"," nelasītās)"
"Show Toolbar","Rādīt rīkjoslu"
"Show List","Rādīt sarakstu"
"Use HTTPS to Get Feed","Lietojiet HTTPS lai lietotu plūsmu"
"Update Frequency","Atjaunošanas biežums"
"Last Update","Pēdējo reizi atjaunots"
Severity,Nozīmīgums
"Date Added","Pievienošanas datums"
Message,Ziņa
Actions,Darbības
"Manage Shopping Cart","Pārvaldīt grozu"
"Create Order","Izveidot pasūtījumu"
Back,Atpakaļ
"Add Products","Pievienot produktus"
"Update Items and Quantities","Atjaunot produktus un skaitu"
"Are you sure you want to clear your cart?","Vai vēlaties iztukšot grozu?"
"Clear my shopping cart","Iztukšot grozu"
"Add selections to my cart","Pievienot izvēlēto grozam"
Cancel,Atcelt
"Shopping Cart for %1 in %2","Grozs %1 iekš %2"
"Select products you want to buy","Izvēlēties produktus kurus vēlaties pirkt"
Product,Produkts
Price,Cena
Quantity,Skaits
"Products in the Comparison List (%1)","Produkti salīdzināšanas sarakstā (%1)"
"Last ordered items (%1)","Pēdējie pasūtītie produkti (%1)"
Products,Produkti
SKU,Artikuls
"Recently Compared Products (%1)","Nesen salīdzinātie produkti (%1)"
"Recently Viewed Products (%1)","Nesen skatītie produkti (%1)"
"Add to Shopping Cart by SKU","Pievienot grozam pēc artikula"
"Add to Shopping Cart","Pievienot grozam"
"Wish List (%1)","Vēlmju saraksts (%1)"
Apply,Apstiprināt
Configure,Konfigurēt
"Add to Order by SKU","Pievienot pasūtījumam pēc artikula"
"Add to Order","Pievienot pasūtījumam"
"Add Products to Order","Pievienot produktus pasūtījumam"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produktam(iem) jāpievērš uzmanība.</span>"
"Remove All","Noņemt visus"
"Only %1%2%3 left in stock","Noliktavā atlikuši %1%2%3"
"You can buy up to %1 of these per purchase.","Jūs varat nopirkt %1 šādus produktus vienā pirkumā."
"You must buy at least %1 of these per purchase.","Jums jāpērk vismaz %1 šādus produktus vienā pirkumā."
"Specify the product's options.","Norādiet produkta opcijas."
"Alert me when this item is available.","Pabrīdināt kad šis produkts ir pieejams."
"Shopping cart management is disabled for this customer.","Groza pārvalde šim klientam ir izslēgta."
Customers,Klienti
"Shopping Cart",Grozs
"You do not have access to this.","Jums nav piekļuves tiesību."
"An error has occurred. See error log for details.","Kļūda. Vairāk informācijas kļūdu log failā."
"You cannot configure a product.","Jūs nevarat konfigurēt produktu."
"You removed the items.","Jūs nodzēsāt produktus."
"You removed the item.","Jūs nodzēsāt produktu."
"You added %1 to your shopping cart.","Jūs pievienojāt %1 grozam."
"You cannot add a product.","Jūs nevarat pievienot produktu."
"Order by SKU","Pasūtīt pēc artikula"
"The SKU was not found in the catalog.","SKU katalogā nav atrasts."
"Availability: Out of stock.","Pieejamība: Nav noliktavā."
"We don't have as many of these as you want.","Veikalā nav pieejams tāds daudzums."
"You can't add this many to your cart.","Jūs nevarat pievienot grozam tik daudz produktus."
"You need to choose options for your item.","Jums jāizvēlās opcijas produktam."
"We can't add the item to your cart.","Nevar pievienot grozam produktu."
"Please enter an actual number in the ""Qty"" field.","Ievadiet nepieciešamo skaitu ""Skaits"" laukā."
"This product is assigned to another website.","Šis produkts atrodas citā web lapā."
"You can add only enabled products.","Jūs varat pievienot tikai ieslēgtos produktus."
"You cannot upload this file.","Nevar augšupielādēt šo failu."
"The file is empty.","Fails ir tukšs."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Jūs neesat ievadījis produkta artikulu. Nospiediet <a href=""%1"">šeit</a> lai pievienotu prudukta(u) artikulu."
"You have not entered a product SKU.","Jūs neesat ievadījis produkta artikulu."
"We can't add a product to cart by id ""%1"".","Nevar pievienot grozam produktu ar id ""%1""."
"Something went wrong while reordering this product.","Notikusi kļūda atkārtoti pasūtot šo produktu."
"We can't find this wish list.","Nevaram atrast šo vēlmju sarakstu."
"You added %1 product to your shopping cart.","Jūs pievienojāt %1 produktu grozam."
"You added %1 products to your shopping cart.","Jūs pievienojāt %1 produktus grozam."
"%1 product requires your attention.","Pievērsiet uzmanību %1 produktam."
"%1 products require your attention.","Pievērsiet uzmanību %1 produktiem."
"Yes, for Specified Customer Groups","Jā, norādītajām klientu grupām"
"Yes, for Everyone","Jā, visiem"
No,Nē
"Please upload the file in .csv format.","Augšupielādējiet failu .csv formātā."
"%1 item(s) need your attention.","%1 produktam(iem) jāpievērš uzmanība."
"Apply Coupon Code","Pielietot kupona kodu"
"Remove Coupon Code","Nodzēst kupona kodu"
"The coupon code ""%1"" is not valid.","Kupona kods ""%1"" nav derīgs."
"Shopping Cart Items","Iepirkumu groza produkti"
Qty,Skaits
Subtotal,Starpsumma
Discount,Atlaide
"Row Subtotal","Rindu starpsumma"
Action,Darbība
"No ordered items","Nav pasūtītu produktu"
"Total %1 product(s)","Pavisam %1 produkts(i)"
Subtotal:,Starpsumma:
"Please select",Izvēlieties
"Move to Wish List","Pārvietot uz vēlmju sarakstu"
"No item specified.","Nav norādīts produkts."
"Are you sure you want to remove this item?","Vai tiešām vēlaties nodzēst šo produktu?"
"SKU number","Artikula numurs"
"Upload File","Augšupielādēt failu"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV failā jābūt artikula ""sku"" un skaita ""qty"" kolonnām."
Reset,Notīrīt
"SKU: ","Artikuls: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Noliktavā tikai <span id=""%1_max_allowed"">%2</span>"
Item,Produkts
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"What's this?","Kas tas ir?"
"Incl. Tax","Ar PVN"
"Excl. Tax","Bez PVN"
"Edit item parameters","Labot produkta parametrus"
Edit,Labot
"Remove item","Noņemt produktu"
"Products Requiring Attention","Produkti kuriem jāpiegriež uzmanība"
"Add to Cart","Pievienot grozam"
Sku,Artikuls
File,Fails
"File extensions allowed: .csv","Atļautie failu paplašinājumi: .csv"
"Add Row","Pievienot rindu"
"Remove Row","Nodzēst rindu"
"Add Products By SKU","Pievienot produktus pēc artikula"
"Shopping Cart Management","Iepirkšanās groza pārvaldība"
"View Shopping Cart","Apskatīt iepirkumu grozu"
"View and modify Shopping Cart","Apskatīt un papildināt iepirkuma grozu"
"Order by SKU Settings","Šķirot pēc artikula iestatījumiem"
"Enable Order by SKU on My Account in Storefront","Ieslēgt Šķirošanu pēc artikula Manā kontā veikala priekšskatā"
"Customer Groups","Klientu grupas"
"Apply Coupon","Pielietot kuponu"
"Order by SKU Description","Šķirot pēc artikula apraksta"
"Display a Link to Loading a Spreadsheet","Rādīt saiti tabulas ielādēšanai"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definē vai saite uz Mans konts &gt; Šķirot pēc artikula lapu tiks parādīta logrīkā"
"Link Text","Saites teksts"
"The text of the link to the My Account &gt; Order by SKU page","Teksts saitei uz Mans konts &gt; Šķirot pēc artikula lapu"
"Load a list of SKUs","Ielādēt artikulu sarakstu"
"Order by SKU Template","Škirot pēc artikulu šablona"
"Please correct the data sent.","Izlabojiet nosūtītos datus."
"Entity type model '%1' is not found","Produkta veida modelis '%1' nav atrasts"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Produkta veida modelim jābūt piemēram
\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Eksportam nav pieejami produkta veidi"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klase neiekļauj \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Pārdošanas noteikums"
"Index sales rule","Indeksēt pārdošanas noteikumus"
"Related Search Terms","Saistīti meklēšanas nosacījumi"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"Missing search engine parameter.","Trūkst meklēšanas dzinēja parametrs."
"Successful! Test again?","Veiksmīgi! Testēt vēlreiz?"
"Connection failed! Test again?","Pieslēguma kļūda! Testēt vēlreiz?"
"Enable Search Recommendations","Ieslēgt meklēšanas ieteikumus"
"When you enable this option your site may slow down.","Ieslēdzot šo opciju var samazināties lapas ātrdarbība."
"Search Recommendations Count","Meklēšans ieteikumu skaits"
"Show Results Count for Each Recommendation","Rādīt rezultātu skaitu katram ieteikumam"
"Enable Search Suggestions","Ieslēgt meklēšanas ieteikumus"
"Search Suggestions Count","Meklēšans ieteikumu skaits"
"Show Results Count for Each Suggestion","Rādīt rezultātu skaitu katram ieteikumam"
"Related search terms","Saistītie atslēgvārdi"
"Did you mean","Vai Jūs domājāt"
"Search Query","Meklēšanas pieprasījums"
Store,Veikals
Results,Rezultāti
Uses,Lieto
"Redirect URL","Novirzīšanas URL"
"Suggested Term","Ieteiktais termins"
Yes,Jā
"RPC call failed, connection timed out after %time_out.","RPC pieprasījums nav izdevies, pieslēguma taimauts pēc %time_out."
"Message has been rejected: %1","Ziņa tik atteikta: %1"
"Error while checking if topic is synchronous","Kļūda pārbaudot vai temats ir sinhronizēts"
"Subscription status","Pierakstīšanās statuss"
"Sorry, there has been an error processing your request. Please try again later.","Atvainojiet, radās kļūda, apstrādājot jūsu pieprasījumu. Lūdzu, vēlāk mēģiniet vēlreiz."
"Cron settings can't be saved","Cron iestatījumus nevar saglabāt"
"There was an error save new configuration value.","Radās kļūda, saglabāt jaunu konfigurācijas vērtību."
"Please select an industry.","Izvēlieties industriju."
"--Please Select--","--Lūdzu izvēlieties--"
"These arguments can't be empty ""%1""","Šie argumenti nevar būt tukši ""%1"""
"Cannot find predefined integration user!","Nevar atrast definētu integrācijas lietotāju!"
"File is not ready yet.","Fails vēl nav gatavs."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Pamata URL ir mainīta, un atskaites tiek atjauninātas. Papildu Atskaites būs pieejamas tiklīdz šī izmaiņas būs apstrādātas. Lūdzu, vēlāk mēģiniet vēlreiz."
"Failed to synchronize data to the Magento Business Intelligence service. ","Neizdevās sinhronizēt datus ar Magento Business Intelligence pakalpojumu. "
"Retry Synchronization","Vēlreiz mēģināt sinhronizēšanu"
"Apps and Games","Aplikācijas un spēles"
"Athletic/Sporting Goods","Sporta preces"
"Art and Design","Māksla un dizains"
"Advanced Reporting","Paplašinātas atskaites"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Iegūstiet jaunu informāciju un pārvaldiet biznesa izaugsmi lietojot dinamiskas produktu, pasūtījumu un klientu atskaites par jūsu klientu datiem."
"Go to Advanced Reporting","Iet uz Paplašinātajām atskaitēm"
Analytics,Analītika
Configuration,Konfigurācija
"Advanced Reporting Service","Paplašinātu Atskaišu serviss"
"Time of day to send data","Laiks kurā sūtīt datus"
Industry,Industrija
"In order to personalize your Advanced Reporting experience, please select your industry.","Lai personalizētu Paplašinātās atskaites, izvēlaties atbilstošu industriju."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Vairāk informācijas no Magento Business Intelligence</strong>"
"Auto Parts","Auto daļas"
"Baby/Children’s Apparel, Gear and Toys","Bērnu apģērbs, rotaļlietas"
"Beauty and Cosmetics","Skaistums un kosmētika"
"Books, Music and Magazines","Grāmatas, mūzika un žurnāli"
"Crafts and Stationery","Amatniecība un kancelejas preces"
"Consumer Electronics","Sadzīves elektronika"
"Deal Site","Darījumu vieta"
"Fashion Apparel and Accessories","Modes apģērbs un aksesuāri"
"Food, Beverage and Grocery","Pārtika, dzērieni un pārtikas preces"
"Home Goods and Furniture","Mājai un Mēbeles"
"Home Improvement","Mājas uzlabošana"
"Jewelry and Watches","Rotaslietas un pulksteņi"
"Mass Merchant",Vairumtirdzniecība
"Office Supplies","Kancelejas preces"
"Outdoor and Camping Gear",Tūrismam
"Pet Goods","Dzīvnieku preces"
"Pharma and Medical Devices","Medicīnas preces"
"Technology B2B","Tehnoloģijas B2B"
Done,Gatavs
Retry,"Mēģināt vēlreiz"
"'Action Details - #' .","'Darbības informācija - #' ."
"%1 item(s) have been scheduled for update.""","%1 produkts(i) apstiprināti atjaunināšanai."""
"Bulk Actions Log","Vairāku darbību žurnāls"
"%1 item(s) are currently being updated.","Pašlaik tiek atjaunināta(s) %1 prece (s)."
"Task ""%1"": ","Uzdevums ""%1"": "
"%1 item(s) have been scheduled for update.","%1 produkts(i) apstiprināti atjaunināšanai."
"%1 item(s) have been successfully updated.","%1 produkts(i) neizdevās atjaunināt."
"%1 item(s) failed to update","%1 produkts(i) netika atjaunināts(i)"
Details,"Papildus informācija"
"View Details","Skatīt detaļas"
Dismiss,Atcelt
"Pending, in queue...","Gaida rindā..."
"%1 items selected for mass update","%1 produkti atlasīti masveida atjaunināšana"
", %1 successfully updated",", %1 veiksmīgi atjaunināts"
", %1 failed to update",", %1 neizdevās atjaunināt"
"Something went wrong.","Kaut kas nogāja greizi."
"Action Log","Darbību žurnāls"
"Bulk Actions","Vairākas darbības"
"Days Saved in Log","Žurnālā saglabātās dienas"
"Description of Operation","Darbības apraksts"
Summary,Kopsavilkums
"Start Time","Sākuma laiks"
"Items to Retry","Produktus kurus mēģināt vēlreiz"
"To retry, select the items and click “Retry”.","Lai mēģinātu vēlreiz, izvēlieties produktus un nospiediet ""Mēģināt vēlreiz""."
"Items That Can’t Be Updated.","Produkti kurus nevar atjaunot."
Status,Statuss
"Meta Information","Meta informācija"
Error,Kļūda
"Dismiss All Completed Tasks","Atcelt Visus Pabeigtos Uzdevumus"
"Action Details - #","Darbības informācija - #"
"Number of Records Affected","Apstrādāto ierakstu skaits"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Notikusi kļūda kompilējot atļauto resursu sarakstu. Vairāk informācijas noraidījumu log failā."
"You created the order.","Jūs izveidojāt pasūtījumu."
"Order saving error: %1","Kļūda saglabājot pasūtījumu: %1"
"Please choose a payment method.","Izvēlieties maksāšanas veidu."
"We can't process your order right now. Please try again later.","Nevaram pašlaik apstrādāt Jūsu pasūtījumu. Mēģiniet vēlāk."
"An error occurred on the server. Please try to place the order again.","Servera kļūda. Mēģiniet pasūtījumu izveidot vēlreiz."
"Credit Card: xxxx-%1","Kredītkarte: xxxx-%1"
"amount %1","skaits %1"
failed.,neizdevās.
successful.,veiksmīgi.
"Authorize.Net Transaction ID %1.","Authorize.Net transakcijas ID %1."
authorize,autorizēt
"authorize and capture","autorizēt un saņemt"
capture,saņemt
refund,atmaksāt
void,anulēt
"Gateway error: %1","Vārtejas kļūda: %1"
"Something went wrong in the payment gateway.","Notikusi kļūda maksājuma vārtejā."
"Invalid amount for capture.","Nepareiza summa saņemšanai."
"Payment capturing error.","Maksājuma saņemšanas kļūda."
"Invalid transaction ID.","Nepareizs transakcijas ID."
"Payment voiding error.","Maksājuma anulācijas kļūda."
"Invalid amount for refund.","Nepareiza atmaksas summa."
"Payment refunding error.","Atmaksas maksājuma kļūda."
"The transaction was declined because the response hash validation failed.","Transakcija tika atcelta, jo atbildes hash validācija bija nepareiza."
"This payment didn't work out because we can't find this order.","Maksājums neizdevās, jo nevar atrast šo pasūtījumu."
"There was a payment authorization error.","Maksājuma autorizācijas kļūda."
"Please enter a transaction ID to authorize this payment.","Ievadiet transakcijas ID lai autorizētu šo maksājumu."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Kļūda: samaksātā summa neatbilst pasūtījuma summai. Izlabojiet un mēģiniet vēlreiz."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 tika apstiprināta. Summa %2. Transakcijas statuss ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 tika anulēta/noraidīta. Transakcijas statuss ir ""%2"". Summa %3."
"Authorize Only","Tikai autorizācija"
"Authorize and Capture","Autorizēt un saņemt"
"Unable to get transaction details. Try again later.","Nevar saņemt transakcijas detaļas. Mēģiniet vēlāk."
"Electronic payments save the trees.","Elektroniskiem maksājumi pasargā dabu."
"Credit Card Type","Kredītkartes veids"
"Please Select","Lūdzu izvēlieties"
"Credit Card Number","Kredītkartes numurs"
"Expiration Date","Derīguma termiņš"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Fraud Detection ","Krāpšanas noteikšana "
"FDS Filter Action","FDS filtra darbība"
"AVS Response","AVS atbilde"
"Card Code Response","Kodu kartes atbilde"
"CAVV Response","CAVV atbilde"
"Fraud Filters","Krāpšanas filtri"
"Place Order","Veikt pasūtījumu"
"Sorry, but something went wrong. Please contact the seller.","Atvainojiet, notikusi kļūda. Sazinieties ar pārdevēju."
Enabled,Ieslēgts
"Payment Action","Maksājuma darbība"
Title,Nosaukums
"Transaction Key","Transakcijas atslēga"
"Merchant MD5","Tirgotāja MD5"
"New Order Status","Jauna pasūtījuma statuss"
"Test Mode","Testa režīms"
"Gateway URL","Vārtejas URL"
"Transaction Details URL","Transakcijas informācijas URL"
"Accepted Currency","Akceptētā valūta"
Debug,Atkļūdot
"Email Customer","E-pasta klientam"
"Merchant's Email","Tirgotāja e-pasts"
"Credit Card Types","Kredītkaršu veidi"
"Credit Card Verification","Kredītkartes pārbaude"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Minimum Order Total","Minimālā pasūtījuma summa"
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Sort Order","Kārtošanas secība"
"Cannot place order.","Nevar izveidot pasūtījumu."
"'Gateway error: ' .","'Vārtejas kļūda: ' ."
"Unable to place order. Please try again later.","Nevar izveidot pasūtījumu. Mēģiniet vēlāk."
"A server error stopped your order from being placed. Please try to place your order again.","Servera kļūdas dēļ pasūtījuma izveidošana ir pārtraukt. Mēģiniet pasūtījumu izveidot vēlreiz."
"The transaction details are unavailable. Please try again later.","Transakcijas informācija nav pieejama. Mēģiniet vēlāk vēlreiz."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Novecojis)"
"Signature Key","Paraksta atslēga"
"There was an error while trying to process the request.","Kļūda apstrādājot pieprasījumu."
"This transaction cannot be refunded with its current status.","Ar šādu statusu transakciju nav iespējams atgriezt."
"The authenticity of the gateway response could not be verified.","Vārtejas atbildes autentiskumu nevar pārbaudīt."
"Basic Authorize.Net Settings","Authorize.Net pamata iestatījumi"
Environment,Vide
"Public Client Key","Publiskā klienta atslēga"
"Merchant MD5 (deprecated)","Tirgotāja MD5 (novecojis)"
"Advanced Authorize.Net Settings","Authorize.Net paplašināti iestatījumi"
"Enable Credit Card Verification Field","Ieslēgt kredītkartes pārbaudes lauku"
"Invalid request to gateway.","Kļūdains pieprasījums vārtejai."
"Invalid gateway credentials.","Kļūdaini vārtejas iestatījumi."
"Transaction has been declined. Please try again later.","Transakcija liegta. Mēģiniet vēlāk."
options,opcijas
"Select all","Atlasīt visu"
"Deselect all","Atcelt visu atlasi"
"%s of %s selected","Atlasīti %s no %s"
"B2B Features","B2B funkcijas"
"Invalid Form Key. Please refresh the page.","Nepareiza Formas atslēga. Atjaunojiet lapu."
"You entered an invalid Secret Key. Please refresh the page.","Jūs ievadījāt nepareizu Slepeno atslēgu. Atjaunojiet lapu."
"Cache Storage Management","Keša glabāsanas pārvaldība"
"Flush Magento Cache","Tīrīt Magento kešu"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Kešs var saturēt papildus datus. Vai vēlaties to izdzēst?"
"Flush Cache Storage","Tīrīt kešu"
Invalidated,"Nav validēti"
Orders,Pasūtījumi
Amounts,Skaiti
Bestsellers,"Visvairāk pārdotie"
"Most Viewed Products","Visvairāk apskatītie produkti"
"New Customers","Jauni klienti"
Customer,Klients
Guest,Viesis
Items,Produkti
Total,Kopā
"Lifetime Sales","Darbības laikā pārdotais"
"Average Order","Vidējais pasūtījums"
Average,Vidēji
Views,Skatījumi
Revenue,Peļņa
Tax,Nodokļi
Shipping,Piegāde
"Images (.gif, .jpg, .png)","Attēli (. gif,. jpg,. png)"
"Media (.avi, .flv, .swf)","Mēdiji (.avi, .flv, .swf)"
"All Files","Visi faili"
"Reset to Default","Atiestatīt noklusējuma vērtības"
"All Store Views","Visi veikala skati"
"What is this?","Kas tas ir?"
"Save Account","Saglabāt kontu"
"My Account","Mans konts"
"Account Information","Konta informācija"
"User Name",Lietotājvārds
"First Name",Vārds
"Last Name",Uzvārds
Email,E-pasts
"User Email","Lietotāja e-pasts"
"New Password","Jauna parole"
"Password Confirmation","Paroles apstiprinājums"
"Interface Locale","Interfeisa lokalizācija"
"Current User Identity Verification","Patreizējā lietotāja identitātes pārbaude"
"Your Password","Jūsu parole"
"Save Cache Settings","Saglabāt keša iestatījumus"
"Catalog Rewrites","Kataloga Rewrites"
Refresh,Atjaunot
"Images Cache","Attēlu kešs"
Clear,Notīrīt
"Search Index","Meklēt indeksu"
Rebuild,Atjaunot
"Inventory Stock Status","Noliktavas krājumu statuss"
"Rebuild Catalog Index","Atjaunot kataloga indeksu"
"Rebuild Flat Catalog Category","Atjaunot parasta kataloga kategoriju"
"Rebuild Flat Catalog Product","Atjaunot parasta kataloga produktu"
"Cache Control","Kešatmiņas kontrole"
"All Cache","Visas kešs"
"No change","Bez izmaiņām"
Disable,Izslēgt
Enable,Ieslēgt
"Add Design Change","Pievienot dizaina maiņu"
Delete,Dzēst
Save,Saglabāt
"Edit Design Change","Labot dizaina izmaiņas"
"New Store Design Change","Jaunā veikala dizaina maiņa"
"General Settings","Vispārīgie iestatījumi"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"Custom Design","Pielāgots dizains"
"Date From","Datums no"
"Date To","Datums līdz"
"Design Change","Dizaina maiņa"
General,Vispārīgi
"Delete %1 '%2'","Dzēst %1 '%2'"
"Delete %1","Dzēst %1"
"Block Information","Bloka informācija"
"Backup Options","Rezerves kopijas opcijas"
"Create DB Backup","Izveidot DB rezerves kopiju"
"Delete Store","Dzēst veikalu"
"Delete Web Site","Dzēst web lapu"
"Save Web Site","Saglabāt web lapu"
"Save Store","Saglabāt veikalu"
"Save Store View","Saglabāt veikala skatu"
"Delete Store View","Dzēst veikala skatu"
"Edit Web Site","Labot lapu"
"New Web Site","Jauna lapa"
"Edit Store","Labot veikalu"
"New Store","Jauns veikals"
"Edit Store View","Labot veikala skatu"
"New Store View","Jauns veikala skats"
"Store Information","Veikala informācija"
"Web Site","Mājas lapa"
Name,Vārds
Code,Kods
"Root Category","Saknes kategorija"
"Default Store View","Noklusētais veikala skats"
"Store View Information","Veikala skata informācija"
Disabled,Izslēgts
"Web Site Information","Mājas lapas informācija"
"Default Store","Noklusētais skats"
"Set as Default","Iestatīt kā noklusēto"
Stores,Veikali
"Create Website","Izveidot mājas lapu"
"Create Store","Izveidot veikalu"
"Create Store View","Izveidot veikala skatu"
Home,Sākums
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Add New Image","Pievienot jaunu attēlu"
"Export block for grid %1 is not defined","Eksportējamais bloks režģim %1 nav definēts"
"Reset Filter","Notīrīt filtru"
Search,Meklēt
Any,Jebkurš
"All Countries","Visas valstis"
From,No
To,Kam
"Date selector",Datums
"[ deleted ]","[ dzēsts ]"
"Select All","Izvēlēties visu"
" [deleted]"," [dzēsts]"
"We couldn't find any records.","Nevar atrast nevienu ierakstu."
"Add New","Pievienot jaunu"
"Invalid export type supplied for grid export block","Nepareizs eksporta veids režģa eksporta blokam"
Export,Eksportēt
"Please correct the column format and try again.","Izlabojiet kolonnas formātu un mēģiniet vēlreiz."
Submit,Iesniegt
"Unknown block type","Nezināms bloka veids"
"Please correct the tab configuration and try again. Tab Id should be not empty","Izlabojiet tabu konfigurāciju un mēģiniet vēlreiz. Taba ID nevar būt tukšs"
"Please correct the tab configuration and try again.","Izlabojiet tabu konfigurāciju un mēģiniet vēlreiz."
"You have logged out.","Jūs esat atslēdzies."
"The image cache was cleaned.","Attēlu kešs tika iztīrīts."
"An error occurred while clearing the image cache.","Kļūda attīrot attēlu kešu."
"The JavaScript/CSS cache has been cleaned.","JavaSript/CSS kešs ir attīrīts."
"An error occurred while clearing the JavaScript/CSS cache.","Kļūda tīrot JavaScript/CSS kešu."
"The static files cache has been cleaned.","Statisko failu kešs ir iztīrīts."
"You flushed the cache storage.","Keša glabātuve ir iztīrīta."
"The Magento cache storage has been flushed.","Magento keša glabātuve ir iztīrīta."
"Cache Management","Keša pārvaldība"
"You can't change status of cache type(s) in production mode","Darbojošās lapas režīmā nevar mainīt keša veidu(s)"
"%1 cache type(s) disabled.","%1 keša veids(i) ir izslēgts."
"An error occurred while disabling cache.","Kļūda izslēdzot kešu."
"%1 cache type(s) enabled.","%1 keša veids(i) ir ieslēgts."
"An error occurred while enabling cache.","Kļūda ieslēdzot kešu."
